run	module	harness	leg	predicted
R1-length-mutated-classify	length	length::proofs::long_form_of_short_value_is_non_minimal	mutated	RED
R1-length-mutated-canonical	length	length::proofs::decode_accepts_only_canonical	mutated	RED
R1-length-reverted-classify	length	length::proofs::long_form_of_short_value_is_non_minimal	reverted	GREEN
R2-tag-mutated-classify	tag	tag::proofs::high_tag_of_small_number_is_non_minimal	mutated	RED
R2-tag-mutated-canonical	tag	tag::proofs::decode_tag_accepts_only_canonical	mutated	RED
R2-tag-reverted-classify	tag	tag::proofs::high_tag_of_small_number_is_non_minimal	reverted	GREEN
R3-integer-mutated-minimal	integer	integer::proofs::decode_accepts_only_minimal	mutated	RED
R3-integer-mutated-positive-padding	integer	integer::proofs::redundant_positive_padding_is_non_minimal	mutated	RED
R3-integer-mutated-negative-padding	integer	integer::proofs::redundant_negative_padding_is_non_minimal	mutated	RED
R3-integer-reverted-minimal	integer	integer::proofs::decode_accepts_only_minimal	reverted	GREEN
R4-bigint-mutated-oracle	big_integer	big_integer::proofs::validate_iff_minimal_oracle	mutated	RED
R4-bigint-reverted-oracle	big_integer	big_integer::proofs::validate_iff_minimal_oracle	reverted	GREEN
R5-oidA-leading	oid	oid::proofs::leading_0x80_is_non_minimal	mutated	RED
R5-oidA-later	oid	oid::proofs::later_0x80_is_non_minimal	mutated	RED
R5-oidA-reverted	oid	oid::proofs::leading_0x80_is_non_minimal	reverted	GREEN
R6-oidB-later	oid	oid::proofs::later_0x80_is_non_minimal	mutated	RED
R6-oidB-reverted	oid	oid::proofs::later_0x80_is_non_minimal	reverted	GREEN
